pop_size,init_infected,r0,expected_recovery_time,expected_incubation_time,expected_time_to_hospital,test_percentage,max_hospital
1000,25,1.706528296360945,7.959830691347234,4.698310639634414,5.191803824274253,18.47365742153697,14.090076216738106
1000,25,1.8262077784994217,2.9444692627070284,3.1556411876785098,6.480474029103888,8.393108443119306,12.971108559778664
1000,25,1.0372206589745077,8.97428324790545,1.3209305712207349,3.1007463813613834,8.499268641942393,17.136561892627867
1000,25,1.5046214783318848,8.341693021699198,1.7812649522484434,1.1205899303388642,3.1731088849234923,21.299966068524242
1000,25,1.9184489850551831,2.374435220261428,2.296517425796035,3.4213316193587753,3.59705103886953,26.541610771093968
1000,25,1.0795808326206227,13.51905735418471,4.612641418405126,1.835685444682678,7.104756220866664,19.59883505826988
1000,25,2.103197463594964,12.251137557960881,1.9936178296119436,12.816357113081862,3.0256211747566386,47.852646259612136
1000,25,2.290815105339531,5.7706671218114325,4.6052799719781365,7.781584003650785,0.23063398235067423,54.869791674204876
1000,25,1.3499594976282487,10.600101852438474,3.304369731075657,13.390343043008519,6.085898369203571,11.46060939151235
1000,25,2.618373671759724,12.827334721948006,1.796368437301847,2.731803843576772,9.271883001037489,64.15805305024443
1000,25,1.718039424666423,1.263062166136566,2.493089024716365,2.9951401725846987,10.562525651225293,8.420867897553839
1000,25,2.5893904845236344,8.995793115350224,3.0318681347027403,4.346336951928269,4.6310234652665,71.2843564869191
1000,25,2.1866781525089465,1.4249639623784307,4.544090686931138,2.945040850899899,17.38964147347059,8.597766392957539
1000,25,1.4459050505083668,6.644200369501281,3.7755506459956663,3.9273298140477055,1.1980767903151723,15.3915287144329
1000,25,1.9621210631974186,10.647116255159926,2.319724220574586,7.767588241945337,4.889493980836379,30.536369319959153
1000,25,1.4409464727523942,1.2897413774249158,1.7668529863225308,5.111791923239005,11.353174737859579,5.014514739409005
1000,25,2.667466630317735,1.5152422311398523,2.801889186079427,3.5663520202551235,13.485354628710912,27.12521857494548
1000,25,1.2445943555768773,11.874516407054266,3.606399403310168,5.653177339535994,1.611653299296354,16.235324954219294
1000,25,1.605276175068466,9.804015376002924,4.499238785539243,1.3017770436128808,3.052490882183434,20.08592360415828
1000,25,1.6554063234434173,3.7788289730254094,2.883076444005439,4.777919120167004,5.592443088939167,14.454331835115944
1000,25,1.6393766244954324,6.155670769513997,1.2260506477663555,8.718002319359675,5.5960109767370785,19.03130581166567
1000,25,1.3033577058345838,12.77820379053846,2.636442670437566,8.188849554248506,4.463106205714733,15.577315819827238
1000,25,1.4884459719085015,7.213340628137888,4.699387258216536,13.920435628391743,5.137761590773313,9.41234433009887
1000,25,2.7010793695837947,8.6025980781788,3.206778148746221,4.114694425251014,6.226849822164205,72.72564508571637
1000,25,2.674693642454347,1.428013709470087,4.964468306734166,9.485204041554491,19.3138319382312,6.0477413190004565
1000,25,2.69030848893971,3.781672766471725,4.172238049379494,2.3830290100232117,17.09570913935996,37.05405163178652
1000,25,2.298156640296503,10.710051072004939,1.8021147813176897,13.593933403658975,19.710121609633845,19.647642499527382
1000,25,2.7022411371446378,4.479004981704053,3.652392699064346,3.730614635459297,14.020851583114883,44.08614005246168
1000,25,2.6867001262652286,8.154657325788397,4.350823088939669,6.82492368801139,0.9627988371035046,88.12788815091045
1000,25,1.3106427014165871,1.700856615017739,4.9220948944407175,12.337274038799208,1.4806086955592601,2.081363757220371
1000,25,1.1769893867993446,3.2498949727107553,3.0989484180285003,11.385906101980053,14.895144202935064,4.355897469755186
1000,25,2.750999278822908,12.369668565623863,2.7038988714579317,4.425763031477716,9.62992487034377,69.82411408104991
1000,25,2.0975277333790867,7.543329907553164,2.7044922552120427,7.0253686205922286,18.955645983495494,17.874684743705508
1000,25,1.0413247555530427,7.647123623664879,3.800221214549236,12.992826708158765,5.90627441767097,7.777836730839442
1000,25,2.742820530455737,10.837256014826796,2.913610810413002,12.90128188708838,3.7880010860743463,82.26591347798121
1000,25,2.145482612495637,9.151975825173706,1.696266524423867,1.7446923584877176,13.691439949045087,29.13719449678453
1000,25,1.4867412886934055,12.117790266298144,3.570192593346997,6.2275487899052,13.647425276344107,15.847887102651562
1000,25,2.4258718317679357,3.2893345765212727,3.026178110670681,11.323652903594501,16.007068545899045,17.049884825960408
1000,25,2.9543551544597477,11.460782653502926,3.296735241686227,1.148364919268024,9.860927950809295,76.5380096987428
1000,25,1.3711185853161127,7.189106537122436,2.4458320060657757,3.0481276356964586,1.773120610658887,17.293736550542462
1000,25,1.1399283159037275,2.6209189646887205,1.4287465857760693,7.884474198402543,16.147797388277315,5.551527455431134
1000,25,2.0748876846054545,12.415599364573698,3.009046263866127,12.980684043799004,15.48399692886167,16.401821214705024
1000,25,2.044298711981258,8.631423318778708,1.6422805600221126,2.642152853284606,7.24228522807336,30.55249368415187
1000,25,2.2022436067359488,9.238359852603422,4.674796799204424,10.14006061365212,1.9787925460060252,48.30201251957498
